val_perf,val_f1,epoch,step,trn_perf,test_perf
,,31,15711,"{'Micro_F1': 0.908320051004144, 'Macro_F1': 0.8346146532335439, 'Micro_Acc': 0.908320051004144, 'Macro_Acc': 0.8207988604048719, 'loss': 0.25793808894402626}",
"{'Micro_F1': 0.7888697647733791, 'Macro_F1': 0.6021684626852529, 'Micro_Acc': 0.7888697647733792, 'Macro_Acc': 0.5945866622681221, 'loss': 0.8144535148685629}",0.6021684626852529,32,16202,,
,,32,16202,"{'Micro_F1': 0.910615237488046, 'Macro_F1': 0.858999573213214, 'Micro_Acc': 0.910615237488046, 'Macro_Acc': 0.8425223056417211, 'loss': 0.2438265070842689}",
"{'Micro_F1': 0.7733792312105565, 'Macro_F1': 0.5657055949903491, 'Micro_Acc': 0.7733792312105565, 'Macro_Acc': 0.5583492664256098, 'loss': 0.9338013719428669}",0.5657055949903491,33,16693,,
,,33,16693,"{'Micro_F1': 0.9153968759961747, 'Macro_F1': 0.85801569630414, 'Micro_Acc': 0.9153968759961747, 'Macro_Acc': 0.8545636416707779, 'loss': 0.23884118421576053}",
"{'Micro_F1': 0.7785427423981641, 'Macro_F1': 0.5908923831073116, 'Micro_Acc': 0.7785427423981641, 'Macro_Acc': 0.588153447569822, 'loss': 0.9098006427288056}",0.5908923831073116,34,17184,,
,,34,17184,"{'Micro_F1': 0.9201147593241952, 'Macro_F1': 0.8875327518033057, 'Micro_Acc': 0.9201147593241951, 'Macro_Acc': 0.8806099540758909, 'loss': 0.22280250524233292}",
"{'Micro_F1': 0.7475616752725186, 'Macro_F1': 0.5701290621430012, 'Micro_Acc': 0.7475616752725186, 'Macro_Acc': 0.5815378869800885, 'loss': 1.0235255642370744}",0.5701290621430012,35,17675,,
,,35,17675,"{'Micro_F1': 0.9262352566145998, 'Macro_F1': 0.8636912671958896, 'Micro_Acc': 0.9262352566145999, 'Macro_Acc': 0.8575023840528365, 'loss': 0.2073760496797666}",
"{'Micro_F1': 0.7395295467584624, 'Macro_F1': 0.5807036861629491, 'Micro_Acc': 0.7395295467584624, 'Macro_Acc': 0.58935161749346, 'loss': 0.9155175268650055}",0.5807036861629491,36,18166,,
,,36,18166,"{'Micro_F1': 0.9210710870258209, 'Macro_F1': 0.8798259234072241, 'Micro_Acc': 0.9210710870258209, 'Macro_Acc': 0.8710576458675829, 'loss': 0.2202486849054239}",
"{'Micro_F1': 0.7756741250717154, 'Macro_F1': 0.5838711617314647, 'Micro_Acc': 0.7756741250717154, 'Macro_Acc': 0.5781896350949083, 'loss': 1.0794735393740915}",0.5838711617314647,37,18657,,
,,37,18657,"{'Micro_F1': 0.9345871852087982, 'Macro_F1': 0.9147991226097284, 'Micro_Acc': 0.9345871852087982, 'Macro_Acc': 0.9133310235009443, 'loss': 0.18534704243153516}",
"{'Micro_F1': 0.7751004016064257, 'Macro_F1': 0.5927663491715073, 'Micro_Acc': 0.7751004016064257, 'Macro_Acc': 0.5926056345914674, 'loss': 0.8960184173150496}",0.5927663491715073,38,19148,,
,,38,19148,"{'Micro_F1': 0.9343959196684729, 'Macro_F1': 0.8973536618906224, 'Micro_Acc': 0.934395919668473, 'Macro_Acc': 0.8985873355907845, 'loss': 0.1847186958770099}",
"{'Micro_F1': 0.7710843373493976, 'Macro_F1': 0.5787629680987949, 'Micro_Acc': 0.7710843373493976, 'Macro_Acc': 0.5633910102327866, 'loss': 1.1349264713850888}",0.5787629680987949,39,19639,,
,,39,19639,"{'Micro_F1': 0.9382849856550844, 'Macro_F1': 0.9148484149848695, 'Micro_Acc': 0.9382849856550844, 'Macro_Acc': 0.9083373313679133, 'loss': 0.16964361203555586}",
"{'Micro_F1': 0.7699368904188181, 'Macro_F1': 0.5790743469780584, 'Micro_Acc': 0.7699368904188181, 'Macro_Acc': 0.5957514613486901, 'loss': 1.029566819559444}",0.5790743469780584,40,20130,,
,,40,20130,"{'Micro_F1': 0.9393050685368186, 'Macro_F1': 0.895000707067628, 'Micro_Acc': 0.9393050685368186, 'Macro_Acc': 0.8923083095321507, 'loss': 0.17339893046751345}",
"{'Micro_F1': 0.7716580608146874, 'Macro_F1': 0.5559597975858896, 'Micro_Acc': 0.7716580608146874, 'Macro_Acc': 0.5439706001450908, 'loss': 1.3334188144315373}",0.5559597975858896,41,20621,,
,,41,20621,"{'Micro_F1': 0.9361173095313994, 'Macro_F1': 0.9221994104688853, 'Micro_Acc': 0.9361173095313994, 'Macro_Acc': 0.9199642510695523, 'loss': 0.17718592827642704}",
,,42,20622,,"{'Micro_F1': 0.891209547854028, 'Macro_F1': 0.8118543945667203, 'Micro_Acc': 0.891209547854028, 'Macro_Acc': 0.7778329284197237, 'loss': 0.36249530800094787}"
