val_perf,val_f1,epoch,step,trn_perf
"{'Micro_F1': 0.302491103202847, 'Macro_F1': 0.261817924701913, 'Micro_Acc': 0.302491103202847, 'Macro_Acc': 0.2976868836868837, 'loss': 13.612452396891399}",0.261817924701913,31,2559,
,,31,2559,"{'Micro_F1': 0.31712139185448796, 'Macro_F1': 0.31660625419431143, 'Micro_Acc': 0.31712139185448796, 'Macro_Acc': 0.31761823528689476, 'loss': 10.402198054326547}"
"{'Micro_F1': 0.3202846975088968, 'Macro_F1': 0.2681660779983951, 'Micro_Acc': 0.3202846975088968, 'Macro_Acc': 0.30304587067087063, 'loss': 11.538643808344153}",0.2681660779983951,32,2639,
,,32,2639,"{'Micro_F1': 0.34124159746935545, 'Macro_F1': 0.34153698675502653, 'Micro_Acc': 0.34124159746935545, 'Macro_Acc': 0.34202617079235054, 'loss': 9.746884411816287}"
"{'Micro_F1': 0.3487544483985765, 'Macro_F1': 0.3255947992521011, 'Micro_Acc': 0.3487544483985765, 'Macro_Acc': 0.3405883750883751, 'loss': 10.945039878715138}",0.3255947992521011,33,2719,
,,33,2719,"{'Micro_F1': 0.3274021352313167, 'Macro_F1': 0.3270666863465553, 'Micro_Acc': 0.3274021352313167, 'Macro_Acc': 0.32801356393659997, 'loss': 9.794284479695635}"
"{'Micro_F1': 0.2775800711743772, 'Macro_F1': 0.2512420976794029, 'Micro_Acc': 0.2775800711743772, 'Macro_Acc': 0.2749370191870192, 'loss': 12.822893883694498}",0.2512420976794029,34,2799,
,,34,2799,"{'Micro_F1': 0.33847370502174773, 'Macro_F1': 0.33949745504091594, 'Micro_Acc': 0.33847370502174773, 'Macro_Acc': 0.3393620529914469, 'loss': 9.615938317834047}"
"{'Micro_F1': 0.2918149466192171, 'Macro_F1': 0.2444569135353571, 'Micro_Acc': 0.2918149466192171, 'Macro_Acc': 0.29036575649075647, 'loss': 15.086208585657642}",0.2444569135353571,35,2879,
,,35,2879,"{'Micro_F1': 0.33531039936733886, 'Macro_F1': 0.33562958747425664, 'Micro_Acc': 0.33531039936733886, 'Macro_Acc': 0.33596963112689127, 'loss': 10.310020587002818}"
"{'Micro_F1': 0.3807829181494662, 'Macro_F1': 0.34002830717908966, 'Micro_Acc': 0.3807829181494662, 'Macro_Acc': 0.37388829938829937, 'loss': 11.5442964461889}",0.34002830717908966,36,2959,
,,36,2959,"{'Micro_F1': 0.3266113088177145, 'Macro_F1': 0.3272953152947167, 'Micro_Acc': 0.3266113088177145, 'Macro_Acc': 0.3273830713474246, 'loss': 10.605761245138144}"
"{'Micro_F1': 0.28825622775800713, 'Macro_F1': 0.21872396835773186, 'Micro_Acc': 0.28825622775800713, 'Macro_Acc': 0.26326116863616866, 'loss': 13.34790608407853}",0.21872396835773186,37,3039,
,,37,3039,"{'Micro_F1': 0.3317516805061289, 'Macro_F1': 0.3326301038658851, 'Micro_Acc': 0.3317516805061289, 'Macro_Acc': 0.3326727944513899, 'loss': 9.793057883570427}"
