val_perf,val_f1,epoch,step,trn_perf,test_perf
"{'Micro_F1': 0.620817843866171, 'Macro_F1': 0.5947008979495093, 'Micro_Acc': 0.620817843866171, 'Macro_Acc': 0.619869344365312, 'loss': 1.23196378544134}",0.5947008979495093,12,987,,
,,12,987,"{'Micro_F1': 0.5766212308963239, 'Macro_F1': 0.5757866023729784, 'Micro_Acc': 0.5766212308963239, 'Macro_Acc': 0.5779638711651917, 'loss': 1.1486422890290293}",
"{'Micro_F1': 0.5762081784386617, 'Macro_F1': 0.5670482290445993, 'Micro_Acc': 0.5762081784386617, 'Macro_Acc': 0.5766128416175854, 'loss': 1.408042095941017}",0.5670482290445993,13,1063,,
,,13,1063,"{'Micro_F1': 0.5803387030152829, 'Macro_F1': 0.5799479154726374, 'Micro_Acc': 0.5803387030152829, 'Macro_Acc': 0.5816302142571486, 'loss': 1.1390757849278725}",
"{'Micro_F1': 0.6394052044609665, 'Macro_F1': 0.6214588292446412, 'Micro_Acc': 0.6394052044609665, 'Macro_Acc': 0.6291579234333029, 'loss': 1.129760990884821}",0.6214588292446412,14,1139,,
,,14,1139,"{'Micro_F1': 0.5815778603882693, 'Macro_F1': 0.5810113008534528, 'Micro_Acc': 0.5815778603882693, 'Macro_Acc': 0.5826034835029248, 'loss': 1.1560492080252829}",
"{'Micro_F1': 0.6356877323420075, 'Macro_F1': 0.6113061839922659, 'Micro_Acc': 0.6356877323420075, 'Macro_Acc': 0.6133289232115133, 'loss': 1.156652032440785}",0.6113061839922659,15,1215,,
,,15,1215,"{'Micro_F1': 0.6014043783560512, 'Macro_F1': 0.6006671655041083, 'Micro_Acc': 0.6014043783560512, 'Macro_Acc': 0.6030792334070572, 'loss': 1.0933145240143858}",
"{'Micro_F1': 0.654275092936803, 'Macro_F1': 0.6321330159855506, 'Micro_Acc': 0.654275092936803, 'Macro_Acc': 0.6444347035001684, 'loss': 1.0262790994412716}",0.6321330159855506,16,1291,,
,,16,1291,"{'Micro_F1': 0.6117306897976043, 'Macro_F1': 0.6087947196043515, 'Micro_Acc': 0.6117306897976043, 'Macro_Acc': 0.6131575172648047, 'loss': 1.06841460645882}",
"{'Micro_F1': 0.6356877323420075, 'Macro_F1': 0.6135399499848498, 'Micro_Acc': 0.6356877323420075, 'Macro_Acc': 0.6209130287012166, 'loss': 1.1878330099197754}",0.6135399499848498,17,1367,,
,,17,1367,"{'Micro_F1': 0.6142090045435771, 'Macro_F1': 0.6127912167194491, 'Micro_Acc': 0.6142090045435771, 'Macro_Acc': 0.6155481287789717, 'loss': 1.091303048392299}",
"{'Micro_F1': 0.5947955390334573, 'Macro_F1': 0.5838799482836641, 'Micro_Acc': 0.5947955390334573, 'Macro_Acc': 0.5980072615556487, 'loss': 1.2082220278524758}",0.5838799482836641,18,1443,,
,,18,1443,"{'Micro_F1': 0.6191656340355225, 'Macro_F1': 0.6176052869886911, 'Micro_Acc': 0.6191656340355225, 'Macro_Acc': 0.6206503158887766, 'loss': 1.001803654124237}",
"{'Micro_F1': 0.6468401486988847, 'Macro_F1': 0.642085174085174, 'Micro_Acc': 0.6468401486988847, 'Macro_Acc': 0.6391369150299416, 'loss': 1.1541431611897046}",0.642085174085174,19,1519,,
,,19,1519,"{'Micro_F1': 0.6480793060718711, 'Macro_F1': 0.646771807921134, 'Micro_Acc': 0.6480793060718711, 'Macro_Acc': 0.6493943377158097, 'loss': 0.9444998904412074}",
"{'Micro_F1': 0.5836431226765799, 'Macro_F1': 0.6004140369589337, 'Micro_Acc': 0.5836431226765799, 'Macro_Acc': 0.5935478326227852, 'loss': 1.2372452017507563}",0.6004140369589337,20,1595,,
,,20,1595,"{'Micro_F1': 0.6505576208178439, 'Macro_F1': 0.647997977464456, 'Micro_Acc': 0.6505576208178439, 'Macro_Acc': 0.6521642018095233, 'loss': 0.9050703513356455}",
"{'Micro_F1': 0.6728624535315985, 'Macro_F1': 0.6610400022157555, 'Micro_Acc': 0.6728624535315985, 'Macro_Acc': 0.6609671309872922, 'loss': 1.0230331447083802}",0.6610400022157555,21,1671,,
,,21,1671,"{'Micro_F1': 0.664601404378356, 'Macro_F1': 0.6636682248338056, 'Micro_Acc': 0.664601404378356, 'Macro_Acc': 0.6661709847041348, 'loss': 0.8871417256162085}",
"{'Micro_F1': 0.654275092936803, 'Macro_F1': 0.6352109943164739, 'Micro_Acc': 0.654275092936803, 'Macro_Acc': 0.6402304250145807, 'loss': 1.1143669954891628}",0.6352109943164739,22,1747,,
,,22,1747,"{'Micro_F1': 0.6836018174308137, 'Macro_F1': 0.6832507173963381, 'Micro_Acc': 0.6836018174308137, 'Macro_Acc': 0.6850702087388721, 'loss': 0.8481812370988977}",
"{'Micro_F1': 0.724907063197026, 'Macro_F1': 0.7143779611217057, 'Micro_Acc': 0.724907063197026, 'Macro_Acc': 0.7139285816966082, 'loss': 0.9929550451016355}",0.7143779611217057,23,1823,,
,,23,1823,"{'Micro_F1': 0.6893845518380834, 'Macro_F1': 0.687451037249551, 'Micro_Acc': 0.6893845518380834, 'Macro_Acc': 0.6913131534522561, 'loss': 0.8272772242113807}",
"{'Micro_F1': 0.6468401486988847, 'Macro_F1': 0.5993358362814447, 'Micro_Acc': 0.6468401486988847, 'Macro_Acc': 0.636760198214183, 'loss': 1.1007886681376442}",0.5993358362814447,24,1899,,
,,24,1899,"{'Micro_F1': 0.691036761668732, 'Macro_F1': 0.6910760697917551, 'Micro_Acc': 0.691036761668732, 'Macro_Acc': 0.69239723880323, 'loss': 0.8183665837380298}",
"{'Micro_F1': 0.6802973977695167, 'Macro_F1': 0.6699709681844122, 'Micro_Acc': 0.6802973977695167, 'Macro_Acc': 0.6734217822026171, 'loss': 1.0831132830724486}",0.6699709681844122,25,1975,,
,,25,1975,"{'Micro_F1': 0.7021891780256092, 'Macro_F1': 0.7005824561385, 'Micro_Acc': 0.7021891780256092, 'Macro_Acc': 0.7040315074697979, 'loss': 0.7680806445475781}",
"{'Micro_F1': 0.6988847583643123, 'Macro_F1': 0.6840704980580468, 'Micro_Acc': 0.6988847583643123, 'Macro_Acc': 0.687043981082169, 'loss': 1.0197734241409062}",0.6840704980580468,26,2051,,
,,26,2051,"{'Micro_F1': 0.701363073110285, 'Macro_F1': 0.7007335460463394, 'Micro_Acc': 0.701363073110285, 'Macro_Acc': 0.7026425408699212, 'loss': 0.7763997588488712}",
"{'Micro_F1': 0.6988847583643123, 'Macro_F1': 0.6835174295821859, 'Micro_Acc': 0.6988847583643123, 'Macro_Acc': 0.6790966489234991, 'loss': 0.9925784152534012}",0.6835174295821859,27,2127,,
,,27,2127,"{'Micro_F1': 0.7195373812474183, 'Macro_F1': 0.7189618229113874, 'Micro_Acc': 0.7195373812474184, 'Macro_Acc': 0.7209706450667613, 'loss': 0.7333184209896416}",
"{'Micro_F1': 0.6765799256505576, 'Macro_F1': 0.6610720180789708, 'Micro_Acc': 0.6765799256505576, 'Macro_Acc': 0.6661064528450678, 'loss': 1.0478773673421349}",0.6610720180789708,28,2203,,
,,28,2203,"{'Micro_F1': 0.7178851714167699, 'Macro_F1': 0.7164637127689035, 'Micro_Acc': 0.7178851714167699, 'Macro_Acc': 0.7197646791066235, 'loss': 0.7114201261742349}",
"{'Micro_F1': 0.6877323420074349, 'Macro_F1': 0.668785315962477, 'Micro_Acc': 0.6877323420074349, 'Macro_Acc': 0.6722374052260199, 'loss': 1.0809239106124393}",0.668785315962477,29,2279,,
,,29,2279,"{'Micro_F1': 0.7467988434531185, 'Macro_F1': 0.7475891984523473, 'Micro_Acc': 0.7467988434531185, 'Macro_Acc': 0.7483790661431483, 'loss': 0.6851669219135151}",
"{'Micro_F1': 0.6505576208178439, 'Macro_F1': 0.6371508026067195, 'Micro_Acc': 0.6505576208178439, 'Macro_Acc': 0.6417922755612508, 'loss': 1.0760967618344188}",0.6371508026067195,30,2355,,
,,30,2355,"{'Micro_F1': 0.7410161090458488, 'Macro_F1': 0.741032956832499, 'Micro_Acc': 0.7410161090458488, 'Macro_Acc': 0.7426307848474931, 'loss': 0.6952552637168212}",
"{'Micro_F1': 0.7063197026022305, 'Macro_F1': 0.6942350179869914, 'Micro_Acc': 0.7063197026022305, 'Macro_Acc': 0.6952900617725096, 'loss': 1.0067397328048076}",0.6942350179869914,31,2431,,
,,31,2431,"{'Micro_F1': 0.7596034696406444, 'Macro_F1': 0.7590356009143099, 'Micro_Acc': 0.7596034696406444, 'Macro_Acc': 0.7608213764479015, 'loss': 0.6458257866971332}",
"{'Micro_F1': 0.6468401486988847, 'Macro_F1': 0.6384840366798576, 'Micro_Acc': 0.6468401486988847, 'Macro_Acc': 0.6448604522454143, 'loss': 1.1195841404758695}",0.6384840366798576,32,2507,,
,,32,2507,"{'Micro_F1': 0.7558859975216853, 'Macro_F1': 0.7556633715830519, 'Micro_Acc': 0.7558859975216853, 'Macro_Acc': 0.7573848641997967, 'loss': 0.6438368014093678}",
"{'Micro_F1': 0.6691449814126395, 'Macro_F1': 0.6587995931833918, 'Micro_Acc': 0.6691449814126395, 'Macro_Acc': 0.6594465066085086, 'loss': 1.1905802994729129}",0.6587995931833918,33,2583,,
,,33,2583,"{'Micro_F1': 0.7786038826931019, 'Macro_F1': 0.7786172737744362, 'Micro_Acc': 0.778603882693102, 'Macro_Acc': 0.7798900442472172, 'loss': 0.5950740868262018}",
,,34,2584,,"{'Micro_F1': 0.6626118889143906, 'Macro_F1': 0.5539516788419065, 'Micro_Acc': 0.6626118889143906, 'Macro_Acc': 0.6465682102202155, 'loss': 1.1117893366047935}"
